min_support,min_confidence,min_lift,TopK,RulesAvailable,RulesSelected,AvgLift,AvgConfidence,AvgSupport,ActivationProxyMean,RuleQualityScore
0.01,0.3,3,300,1773,300,34.155449268965796,0.6990828797854753,0.012004698222444186,0.018169542940643324,23.877489835315316
0.01,0.3,3,400,1773,400,29.697415434686437,0.6825835805656275,0.012353226790966097,0.019211475500804615,20.2709681609532
0.01,0.3,3,500,1773,500,26.707446091341705,0.6679571064809343,0.01268753121358415,0.02021064313856057,17.839428412668145
0.01,0.3,4,50,1722,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.3,4,100,1722,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.3,4,150,1722,150,48.657654609735204,0.7560735238096832,0.011576124151452935,0.016102695003976843,36.78876438109697
0.01,0.3,4,200,1722,200,42.185252374812954,0.7296587542188138,0.011647522335053548,0.016991565395926972,30.780838694212274
0.01,0.3,4,250,1722,250,37.486088160954246,0.7109620059074859,0.011809999445091836,0.01764341601464958,26.65118443253689
0.01,0.3,4,300,1722,300,34.155449268965796,0.6990828797854753,0.012004698222444186,0.018169542940643324,23.877489835315316
0.01,0.3,4,400,1722,400,29.697415434686437,0.6825835805656275,0.012353226790966097,0.019211475500804615,20.2709681609532
0.01,0.3,4,500,1722,500,26.707446091341705,0.6679571064809343,0.01268753121358415,0.02021064313856057,17.839428412668145
0.01,0.3,5,50,1684,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.3,5,100,1684,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.3,5,150,1684,150,48.657654609735204,0.7560735238096832,0.011576124151452935,0.016102695003976843,36.78876438109697
0.01,0.3,5,200,1684,200,42.185252374812954,0.7296587542188138,0.011647522335053548,0.016991565395926972,30.780838694212274
0.01,0.3,5,250,1684,250,37.486088160954246,0.7109620059074859,0.011809999445091836,0.01764341601464958,26.65118443253689
0.01,0.3,5,300,1684,300,34.155449268965796,0.6990828797854753,0.012004698222444186,0.018169542940643324,23.877489835315316
0.01,0.3,5,400,1684,400,29.697415434686437,0.6825835805656275,0.012353226790966097,0.019211475500804615,20.2709681609532
0.01,0.3,5,500,1684,500,26.707446091341705,0.6679571064809343,0.01268753121358415,0.02021064313856057,17.839428412668145
0.01,0.3,6,50,1609,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.3,6,100,1609,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.3,6,150,1609,150,48.657654609735204,0.7560735238096832,0.011576124151452935,0.016102695003976843,36.78876438109697
0.01,0.3,6,200,1609,200,42.185252374812954,0.7296587542188138,0.011647522335053548,0.016991565395926972,30.780838694212274
0.01,0.3,6,250,1609,250,37.486088160954246,0.7109620059074859,0.011809999445091836,0.01764341601464958,26.65118443253689
0.01,0.3,6,300,1609,300,34.155449268965796,0.6990828797854753,0.012004698222444186,0.018169542940643324,23.877489835315316
0.01,0.3,6,400,1609,400,29.697415434686437,0.6825835805656275,0.012353226790966097,0.019211475500804615,20.2709681609532
0.01,0.3,6,500,1609,500,26.707446091341705,0.6679571064809343,0.01268753121358415,0.02021064313856057,17.839428412668145
0.01,0.3,7,50,1432,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.3,7,100,1432,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.3,7,150,1432,150,48.657654609735204,0.7560735238096832,0.011576124151452935,0.016102695003976843,36.78876438109697
0.01,0.3,7,200,1432,200,42.185252374812954,0.7296587542188138,0.011647522335053548,0.016991565395926972,30.780838694212274
0.01,0.3,7,250,1432,250,37.486088160954246,0.7109620059074859,0.011809999445091836,0.01764341601464958,26.65118443253689
0.01,0.3,7,300,1432,300,34.155449268965796,0.6990828797854753,0.012004698222444186,0.018169542940643324,23.877489835315316
0.01,0.3,7,400,1432,400,29.697415434686437,0.6825835805656275,0.012353226790966097,0.019211475500804615,20.2709681609532
0.01,0.3,7,500,1432,500,26.707446091341705,0.6679571064809343,0.01268753121358415,0.02021064313856057,17.839428412668145
0.01,0.3,8,50,1222,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.3,8,100,1222,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.3,8,150,1222,150,48.657654609735204,0.7560735238096832,0.011576124151452935,0.016102695003976843,36.78876438109697
0.01,0.3,8,200,1222,200,42.185252374812954,0.7296587542188138,0.011647522335053548,0.016991565395926972,30.780838694212274
0.01,0.3,8,250,1222,250,37.486088160954246,0.7109620059074859,0.011809999445091836,0.01764341601464958,26.65118443253689
0.01,0.3,8,300,1222,300,34.155449268965796,0.6990828797854753,0.012004698222444186,0.018169542940643324,23.877489835315316
0.01,0.3,8,400,1222,400,29.697415434686437,0.6825835805656275,0.012353226790966097,0.019211475500804615,20.2709681609532
0.01,0.3,8,500,1222,500,26.707446091341705,0.6679571064809343,0.01268753121358415,0.02021064313856057,17.839428412668145
0.01,0.3,9,50,1049,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.3,9,100,1049,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.3,9,150,1049,150,48.657654609735204,0.7560735238096832,0.011576124151452935,0.016102695003976843,36.78876438109697
0.01,0.3,9,200,1049,200,42.185252374812954,0.7296587542188138,0.011647522335053548,0.016991565395926972,30.780838694212274
0.01,0.3,9,250,1049,250,37.486088160954246,0.7109620059074859,0.011809999445091836,0.01764341601464958,26.65118443253689
0.01,0.3,9,300,1049,300,34.155449268965796,0.6990828797854753,0.012004698222444186,0.018169542940643324,23.877489835315316
0.01,0.3,9,400,1049,400,29.697415434686437,0.6825835805656275,0.012353226790966097,0.019211475500804615,20.2709681609532
0.01,0.3,9,500,1049,500,26.707446091341705,0.6679571064809343,0.01268753121358415,0.02021064313856057,17.839428412668145
0.01,0.3,10,50,840,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.3,10,100,840,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.3,10,150,840,150,48.657654609735204,0.7560735238096832,0.011576124151452935,0.016102695003976843,36.78876438109697
0.01,0.3,10,200,840,200,42.185252374812954,0.7296587542188138,0.011647522335053548,0.016991565395926972,30.780838694212274
0.01,0.3,10,250,840,250,37.486088160954246,0.7109620059074859,0.011809999445091836,0.01764341601464958,26.65118443253689
0.01,0.3,10,300,840,300,34.155449268965796,0.6990828797854753,0.012004698222444186,0.018169542940643324,23.877489835315316
0.01,0.3,10,400,840,400,29.697415434686437,0.6825835805656275,0.012353226790966097,0.019211475500804615,20.2709681609532
0.01,0.3,10,500,840,500,26.707446091341705,0.6679571064809343,0.01268753121358415,0.02021064313856057,17.839428412668145
0.01,0.4,1,50,1349,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.4,1,100,1349,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.4,1,150,1349,150,48.63435092919696,0.757990394724716,0.011598690416736031,0.01605608271831012,36.86437085800236
0.01,0.4,1,200,1349,200,42.1287291193342,0.7336992413033563,0.011636701625880916,0.016783752288996173,30.909816591930117
0.01,0.4,1,250,1349,250,37.41129521754345,0.716080095302126,0.01181399478386327,0.017388158259808006,26.789483844754482
0.01,0.4,1,300,1349,300,34.076106519652285,0.7040332503626555,0.012040582283632058,0.0179843885836894,23.990712032734876
0.01,0.4,1,400,1349,400,29.59506477831349,0.6951209317039435,0.012336302092003773,0.018621053215692802,20.572149002539835
0.01,0.4,1,500,1349,500,26.55792326059469,0.6768551500530524,0.012830475556295433,0.01993540868986183,17.97586713364727
0.01,0.4,2,50,1349,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.4,2,100,1349,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.4,2,150,1349,150,48.63435092919696,0.757990394724716,0.011598690416736031,0.01605608271831012,36.86437085800236
0.01,0.4,2,200,1349,200,42.1287291193342,0.7336992413033563,0.011636701625880916,0.016783752288996173,30.909816591930117
0.01,0.4,2,250,1349,250,37.41129521754345,0.716080095302126,0.01181399478386327,0.017388158259808006,26.789483844754482
0.01,0.4,2,300,1349,300,34.076106519652285,0.7040332503626555,0.012040582283632058,0.0179843885836894,23.990712032734876
0.01,0.4,2,400,1349,400,29.59506477831349,0.6951209317039435,0.012336302092003773,0.018621053215692802,20.572149002539835
0.01,0.4,2,500,1349,500,26.55792326059469,0.6768551500530524,0.012830475556295433,0.01993540868986183,17.97586713364727
0.01,0.4,3,50,1349,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.4,3,100,1349,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.4,3,150,1349,150,48.63435092919696,0.757990394724716,0.011598690416736031,0.01605608271831012,36.86437085800236
0.01,0.4,3,200,1349,200,42.1287291193342,0.7336992413033563,0.011636701625880916,0.016783752288996173,30.909816591930117
0.01,0.4,3,250,1349,250,37.41129521754345,0.716080095302126,0.01181399478386327,0.017388158259808006,26.789483844754482
0.01,0.4,3,300,1349,300,34.076106519652285,0.7040332503626555,0.012040582283632058,0.0179843885836894,23.990712032734876
0.01,0.4,3,400,1349,400,29.59506477831349,0.6951209317039435,0.012336302092003773,0.018621053215692802,20.572149002539835
0.01,0.4,3,500,1349,500,26.55792326059469,0.6768551500530524,0.012830475556295433,0.01993540868986183,17.97586713364727
0.01,0.4,4,50,1339,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.4,4,100,1339,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.4,4,150,1339,150,48.63435092919696,0.757990394724716,0.011598690416736031,0.01605608271831012,36.86437085800236
0.01,0.4,4,200,1339,200,42.1287291193342,0.7336992413033563,0.011636701625880916,0.016783752288996173,30.909816591930117
0.01,0.4,4,250,1339,250,37.41129521754345,0.716080095302126,0.01181399478386327,0.017388158259808006,26.789483844754482
0.01,0.4,4,300,1339,300,34.076106519652285,0.7040332503626555,0.012040582283632058,0.0179843885836894,23.990712032734876
0.01,0.4,4,400,1339,400,29.59506477831349,0.6951209317039435,0.012336302092003773,0.018621053215692802,20.572149002539835
0.01,0.4,4,500,1339,500,26.55792326059469,0.6768551500530524,0.012830475556295433,0.01993540868986183,17.97586713364727
0.01,0.4,5,50,1324,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.4,5,100,1324,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.4,5,150,1324,150,48.63435092919696,0.757990394724716,0.011598690416736031,0.01605608271831012,36.86437085800236
0.01,0.4,5,200,1324,200,42.1287291193342,0.7336992413033563,0.011636701625880916,0.016783752288996173,30.909816591930117
0.01,0.4,5,250,1324,250,37.41129521754345,0.716080095302126,0.01181399478386327,0.017388158259808006,26.789483844754482
0.01,0.4,5,300,1324,300,34.076106519652285,0.7040332503626555,0.012040582283632058,0.0179843885836894,23.990712032734876
0.01,0.4,5,400,1324,400,29.59506477831349,0.6951209317039435,0.012336302092003773,0.018621053215692802,20.572149002539835
0.01,0.4,5,500,1324,500,26.55792326059469,0.6768551500530524,0.012830475556295433,0.01993540868986183,17.97586713364727
0.01,0.4,6,50,1292,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.4,6,100,1292,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.4,6,150,1292,150,48.63435092919696,0.757990394724716,0.011598690416736031,0.01605608271831012,36.86437085800236
0.01,0.4,6,200,1292,200,42.1287291193342,0.7336992413033563,0.011636701625880916,0.016783752288996173,30.909816591930117
0.01,0.4,6,250,1292,250,37.41129521754345,0.716080095302126,0.01181399478386327,0.017388158259808006,26.789483844754482
0.01,0.4,6,300,1292,300,34.076106519652285,0.7040332503626555,0.012040582283632058,0.0179843885836894,23.990712032734876
0.01,0.4,6,400,1292,400,29.59506477831349,0.6951209317039435,0.012336302092003773,0.018621053215692802,20.572149002539835
0.01,0.4,6,500,1292,500,26.55792326059469,0.6768551500530524,0.012830475556295433,0.01993540868986183,17.97586713364727
0.01,0.4,7,50,1184,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.4,7,100,1184,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.4,7,150,1184,150,48.63435092919696,0.757990394724716,0.011598690416736031,0.01605608271831012,36.86437085800236
0.01,0.4,7,200,1184,200,42.1287291193342,0.7336992413033563,0.011636701625880916,0.016783752288996173,30.909816591930117
0.01,0.4,7,250,1184,250,37.41129521754345,0.716080095302126,0.01181399478386327,0.017388158259808006,26.789483844754482
0.01,0.4,7,300,1184,300,34.076106519652285,0.7040332503626555,0.012040582283632058,0.0179843885836894,23.990712032734876
0.01,0.4,7,400,1184,400,29.59506477831349,0.6951209317039435,0.012336302092003773,0.018621053215692802,20.572149002539835
0.01,0.4,7,500,1184,500,26.55792326059469,0.6768551500530524,0.012830475556295433,0.01993540868986183,17.97586713364727
0.01,0.4,8,50,1058,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.4,8,100,1058,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.4,8,150,1058,150,48.63435092919696,0.757990394724716,0.011598690416736031,0.01605608271831012,36.86437085800236
0.01,0.4,8,200,1058,200,42.1287291193342,0.7336992413033563,0.011636701625880916,0.016783752288996173,30.909816591930117
0.01,0.4,8,250,1058,250,37.41129521754345,0.716080095302126,0.01181399478386327,0.017388158259808006,26.789483844754482
0.01,0.4,8,300,1058,300,34.076106519652285,0.7040332503626555,0.012040582283632058,0.0179843885836894,23.990712032734876
0.01,0.4,8,400,1058,400,29.59506477831349,0.6951209317039435,0.012336302092003773,0.018621053215692802,20.572149002539835
0.01,0.4,8,500,1058,500,26.55792326059469,0.6768551500530524,0.012830475556295433,0.01993540868986183,17.97586713364727
0.01,0.4,9,50,931,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.4,9,100,931,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.4,9,150,931,150,48.63435092919696,0.757990394724716,0.011598690416736031,0.01605608271831012,36.86437085800236
0.01,0.4,9,200,931,200,42.1287291193342,0.7336992413033563,0.011636701625880916,0.016783752288996173,30.909816591930117
0.01,0.4,9,250,931,250,37.41129521754345,0.716080095302126,0.01181399478386327,0.017388158259808006,26.789483844754482
