TopK,Avg_Lift,Min_Lift,Avg_Confidence,Avg_Support,Coverage,Sparsity,Avg_Features_Per_Customer,Best_K,Best_Silhouette,Silhouette_K5,N_Meaningful_Clusters,TradeOff_Score
50,71.31557207042255,69.03074485580201,0.9038275877024384,0.010670883968703132,0.03468502932925274,0.9719816373374139,1.4009181331293037,7,0.906185933156709,0.8457190830698729,5,0.029333791200587277
100,58.415602045847784,34.22049940191387,0.8279985255663007,0.01121025470284663,0.29609793420045905,0.9746875796990564,2.5312420300943637,2,0.6894492645607551,0.262928061287409,5,0.07785245579053349
150,48.63435092919696,25.950526350635595,0.757990394724716,0.011598690416735984,0.49069115021678145,0.9680030604437644,4.799540933435348,2,0.5913568725559505,0.2508520209920929,5,0.12309086671481428
200,42.1287291193342,19.69683924070398,0.7336992413033565,0.011636701625880869,0.5705177250701352,0.9690155572558021,6.196888548839582,2,0.5615537927907992,0.24670788915151576,5,0.14075122367557785
250,42.1287291193342,19.69683924070398,0.7336992413033565,0.011636701625880869,0.5705177250701352,0.9690155572558021,6.196888548839582,2,0.5615537927907992,0.24670788915151576,5,0.14075122367557785
300,42.1287291193342,19.69683924070398,0.7336992413033565,0.011636701625880869,0.5705177250701352,0.9690155572558021,6.196888548839582,2,0.5615537927907992,0.24670788915151576,5,0.14075122367557785
400,42.1287291193342,19.69683924070398,0.7336992413033565,0.011636701625880869,0.5705177250701352,0.9690155572558021,6.196888548839582,2,0.5615537927907992,0.24670788915151576,5,0.14075122367557785
500,42.1287291193342,19.69683924070398,0.7336992413033565,0.011636701625880869,0.5705177250701352,0.9690155572558021,6.196888548839582,2,0.5615537927907992,0.24670788915151576,5,0.14075122367557785
